"window","zbeta0","zbeta1","zbeta1_prior","zbeta0_prior","beta1","beta1_prior","beta0","beta0_prior"
"600_2200",0.11385741554468,-0.367543579288115,-0.759657980852765,-13.6321328838216,-627.936800146201,-1297.85208770653,1644.46980673422,-1115.96996950318
"600_2200",0.000374540148841723,-0.0842422282689848,-1.14679008723963,12.4897288704316,-143.925232917605,-1959.2552785588,1306.49326114782,5375.24966060299
"600_2200",-0.241760115208979,-0.15486453052511,-2.11599630013669,-3.16768522943864,-264.581244875594,-3615.11401832289,1327.95390444953,2805.77615899804
"600_2200",-0.252513541942057,-0.64288194250266,-0.348756328626683,5.28002650816216,-1098.3438498063,-595.839365369259,1862.26726212829,2823.36590722434
"600_2200",-0.108366363365464,-0.24780209237866,-0.0822012179503656,11.8117442423559,-423.362185401726,-140.438230121851,1461.15697041474,4046.79626536004
"600_2200",-0.145885807918925,-0.56015432459579,-0.102962849095393,1.94938489292964,-957.006281693221,-175.908832688967,1796.02688136072,1779.63723161046
"600_2200",-0.0120935396930642,-0.250102809121112,-0.970955657416997,13.9274194620527,-427.292888563774,-1658.84761144022,1486.04184297177,5515.66042342794
"600_2200",-0.159581378147202,-0.218536251285341,-0.395105681180133,-0.207457606619249,-373.362404027991,-675.025795962423,1417.07317766062,1600.17968187018
"600_2200",0.127774269205687,-0.375465325653499,-0.299942082835531,2.86033769419033,-641.470857995569,-512.441741166394,1656.41501550364,2207.83003009813
"600_2200",-0.205089292079177,-0.357954843020357,-0.246450840134275,0.945418491615412,-611.554741776186,-421.053612872252,1559.86434941344,1704.35482456867
"600_2200",-0.135248107788237,-0.276527482182891,-0.630372193524018,-3.76715227798446,-472.438622518538,-1076.97133186027,1486.51255271905,1032.42311517085
"600_2200",-0.296935665950734,-0.26083379033256,-1.85112300087502,-13.7416788526629,-445.626436975631,-3162.58620568993,1431.70663816945,59.1855618581544
"600_2200",-0.21743174861146,-0.348612721871585,-0.201498839778682,2.88509396272952,-595.594017684366,-344.254515148563,1546.72232236377,2105.29255410421
"600_2200",0.0481683647634693,-0.464770870953421,-0.529300923440229,9.54572479388854,-794.046610943181,-904.294203215957,1736.16534642106,4012.43804412974
"600_2200",-0.0743029022357406,-0.414031558682315,-0.650756396497814,4.46446097487885,-707.360070395124,-1111.79711010863,1651.91573859889,2966.18974748902
"600_2200",-0.0837119072352878,-0.128277581987816,-0.475858472879613,10.7142275780643,-219.158268306404,-812.989434780052,1335.40684429585,4224.97352825294
"600_2200",-0.197030111669157,-0.271067688034062,-0.744596976769713,-3.81814877235519,-463.110733635502,-1272.12082958139,1466.16136921491,1146.22713266788
"600_2200",0.106841892753233,-0.49486884825607,-0.00679722390911537,-0.0415457875556099,-845.468071208939,-11.6128461273468,1782.89630778631,1211.57145260778
"600_2200",-0.255405853456923,-0.900819494153468,-2.89713561211923,-12.2773544066382,-1539.02215286594,-4949.66629368781,2145.32228443629,1549.79005798554
"600_2200",-0.150792266312575,-0.365400627629406,-1.15636299481036,4.84584726807805,-624.275633734197,-1975.61029409113,1580.66210723044,3610.9040071357
"600_2200",-0.136665687214879,-0.520595519895028,-1.0318852283561,-16.4078933588568,-889.421291392159,-1762.94389271355,1754.65378885427,-1461.04433005254
"600_2200",-6.63508097051846e-05,-0.418518258668389,-0.739062943069222,-6.072023068222,-715.025458096708,-1262.66610472803,1674.08842740832,616.800101362768
"600_2200",0.218087985667744,-0.119115746341682,-0.88094736329122,13.2072270215557,-203.505556401489,-1505.0712339303,1395.40559941862,5249.42742479301
"600_2200",0.00573842886710306,-0.319040517886632,-1.63835372299063,-15.2174875990286,-545.070824816873,-2799.07649676528,1566.01257044413,-517.533062573352
"600_2200",-0.128079885105944,-0.238757264472273,-0.2138786192608,-10.9419906873215,-407.909377589357,-365.404984242795,1446.63043160084,-1091.67813486137
"600_2200",-0.180434731162662,-0.46563068036759,-0.661631614729207,6.07679810672967,-795.515568646957,-1130.37708299332,1684.03048801264,3352.5298774896
"600_2200",-0.166757674910538,-0.254394914795712,-0.766140950490119,-6.28886613502961,-434.625817922566,-1308.92804016204,1454.8507492423,596.235409794427
"600_2200",-0.355562519156998,-0.695912989700217,-0.765737804222371,-15.8357122492759,-1188.94574836247,-1308.23927727343,1896.67292810379,-1620.94370820609
"600_2200",-0.403054762846741,-0.327221668921317,-2.05613297199232,-3.54144477872324,-559.04806749428,-3512.8393797783,1480.09170688248,2653.14226650336
"600_2200",0.0159533897852166,-0.395048800041332,-0.407977189141199,-3.77714313048138,-674.928616301832,-697.016367904348,1651.99216407795,785.47283287449
"600_2200",-0.187341715436265,-0.250868123943393,-0.688680808011558,-1.35610985592664,-428.600405189526,-1176.58979036574,1446.19181995578,1656.39497060889
"600_2200",-0.202737091444316,-0.307758809287056,-0.176316761601478,-22.4576198416777,-525.796375751756,-301.231715995733,1505.1957980769,-3806.87391780242
"600_2200",-0.0326091620231414,-0.653678950047106,-0.329894032173675,-2.96549046630566,-1116.79020215925,-563.613717186119,1925.20460308882,888.04496134858
"600_2200",-0.103554034589433,-0.305299399391471,-0.236633221085735,7.71945293885767,-521.594550261912,-404.280515373623,1525.52036145551,3266.45661752265
"600_2200",-0.228293715712293,-0.417667589619275,-1.47704423195499,-19.7593421929083,-713.572116422998,-2523.48423684791,1620.15931696484,-1749.56921574913
"600_2200",0.164091153631939,-0.386079654425825,-0.463579546940487,-7.51770666659067,-659.605109334971,-792.011270834484,1676.52320442206,-21.9079829634562
"600_2200",-0.197809868269586,-0.310796376845069,-1.06744221111869,-13.4819882755819,-530.985965667327,-1823.69189441185,1509.68114655521,-742.550010030814
"600_2200",-0.238718967469616,-0.348884543794105,-0.217550709445087,-5.90428982051419,-596.058417004216,-371.67863637579,1542.07852296146,82.0930742880412
"600_2200",-0.107616448826543,-0.408534492972644,-0.527318423819295,21.5770609662585,-697.968504206947,-900.907164131581,1638.13380758738,6803.88065562774
"600_2200",-0.314175938256705,-0.581257524407766,-1.36407044540382,-3.1314818314327,-993.060443728768,-2330.47202816032,1780.16378858008,1987.07769700138
"600_2200",0.0190179456025059,-0.154524767628538,-0.730247279354668,12.5031354660893,-264.00077050982,-1247.60481682632,1388.1316898324,4920.17311851266
"600_2200",-0.839263742958591,-0.437912694742615,-1.13255317339854,-17.9267002933975,-748.160250310131,-1934.93195304011,1500.56401126796,-1702.9717137021
"600_2200",0.0457535844554329,-0.362819110811859,-0.732564448029058,3.50043908795302,-619.865192357221,-1251.56362760357,1623.45956760045,2832.3354719824
"600_2200",-0.383984131714,-0.348363904973638,-1.42378461263468,-4.72997590757477,-595.16892173514,-2432.49182991272,1507.77589773659,1681.59890071353
"600_2200",0.0286286755317486,-0.353803079068168,-0.182964739004747,2.85907761400469,-604.461581895257,-312.589579099038,1609.56576854747,2078.86449944121
"600_2200",-0.406930480926963,-0.461732504725824,-0.113747622826403,1.636526743771,-788.855656525409,-194.334283951286,1627.15124929334,1718.8560003435
"600_2200",0.116554099815477,-0.115723688436701,-1.71290562584984,0.555156103754454,-197.710330728141,-2926.4461094161,1368.09867598815,3226.81114426822
"600_2200",-0.0573960157512955,-0.350152389349939,-1.12524757096181,-2.56977368629588,-598.224491794455,-1922.45055797358,1585.57552158074,1854.80304908463
"600_2200",-0.0910516518764363,-0.30198917900242,-0.335241203845958,20.1369489142532,-515.939141445069,-572.749194062708,1524.7821776359,6258.21153303397
"600_2200",-0.285493432475368,-0.326784541238887,-0.923660296528562,-9.73718530660579,-558.301248413146,-1578.04495496187,1506.90809807863,-31.1807213881887
"600_2200",-0.0978905280056505,-0.313398475975602,-1.85758541292249,-5.19145151899645,-535.43157128736,-3173.62703614104,1535.74423935355,2051.61926572335
"600_2200",-0.149192082290844,-0.34825434690537,-1.03201447634082,8.22821499760299,-594.981745175148,-1763.16470888482,1562.17306672002,4259.49380922397
"600_2200",-0.560258865928627,-0.181959646788608,-1.36556946403083,8.34202298212827,-310.872410236296,-2333.03305496925,1283.80402974641,4652.82392787598
