"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"2067","deaf","Signer",0.296047443841562,0.0993770888187249,0.10443765597488
"2067","deaf","Target",0.607641874737463,0.102147339486494,0.0994099183598264
"2067","hearing","Distractor",0.174120879120879,0.0822417582417582,0.0867586996336997
"2067","hearing","Signer",0.270518925518926,0.094998778998779,0.119230158730159
"2067","hearing","Target",0.555360195360195,0.0965007631257631,0.0917338217338218
"2100","deaf","Distractor",0.0943596232199173,0.0456574660021351,0.0513953280175707
"2100","deaf","Signer",0.299875155481773,0.0965552684141839,0.11034733495671
"2100","deaf","Target",0.60576522129831,0.101680940842246,0.0928533292687704
"2100","hearing","Distractor",0.145312806851268,0.0735089696628158,0.0856610270071808
"2100","hearing","Signer",0.2882110579479,0.110888764013764,0.127287322720015
"2100","hearing","Target",0.566476135200832,0.0984364353595122,0.0922402032852437
"2133","deaf","Distractor",0.0865720764980633,0.0406311188126566,0.0439563041125541
"2133","deaf","Signer",0.315367120731865,0.0970906212863933,0.108172023544266
"2133","deaf","Target",0.598060802770071,0.100811398186168,0.0920223688433707
"2133","hearing","Distractor",0.132617681463835,0.0587329123867585,0.0795432131970593
"2133","hearing","Signer",0.307141742647816,0.117441146572726,0.10787331067493
"2133","hearing","Target",0.560240575888349,0.0981582007735854,0.0890316234035868
"2167","deaf","Distractor",0.0917157753917622,0.0455360337000962,0.053969102443609
"2167","deaf","Signer",0.31795638876231,0.0932715558229538,0.119911316525214
"2167","deaf","Target",0.590327835845928,0.113698632629554,0.0948918198866799
"2167","hearing","Distractor",0.127993622192707,0.0594763423710792,0.0637142170694802
"2167","hearing","Signer",0.31309594803874,0.119996375478069,0.124243366155837
"2167","hearing","Target",0.558910429768553,0.0971988299648483,0.0929951006278237
"2200","deaf","Distractor",0.0999045362532205,0.047142844819654,0.0600202333302662
"2200","deaf","Signer",0.298634204632657,0.0947603473936195,0.111916028211984
"2200","deaf","Target",0.601461259114123,0.106095540086204,0.0919733583302662
"2200","hearing","Distractor",0.127433122433122,0.0564372710622711,0.0692121628371628
"2200","hearing","Signer",0.337460142196984,0.112025386893808,0.124284049284049
"2200","hearing","Target",0.535106735369893,0.0983093113027323,0.096585627092206
"2233","deaf","Distractor",0.106849747474747,0.0525193339646465,0.0620965514520202
"2233","deaf","Signer",0.307679893295702,0.0934603502859477,0.106877723311547
"2233","deaf","Target",0.58547035922955,0.0972598611730045,0.0886045039859378
"2233","hearing","Distractor",0.135416694045457,0.0613009755944538,0.0801995858099537
"2233","hearing","Signer",0.34071335498197,0.114571734398129,0.117813770770293
"2233","hearing","Target",0.523869950972574,0.09215064853588,0.104092512750408
"2267","deaf","Distractor",0.10149522148603,0.0554890429729584,0.0582310674670509
"2267","deaf","Signer",0.310863908014643,0.100332858522197,0.106372468889702
"2267","deaf","Target",0.587640870499326,0.101577321269417,0.0882243641434819
"2267","hearing","Distractor",0.154669509234727,0.0636773763675938,0.0737822805214109
"2267","hearing","Signer",0.338262389784129,0.123810242897199,0.128521781358738
"2267","hearing","Target",0.507068100981144,0.109149295149295,0.106394262742089
"2300","deaf","Distractor",0.120803889737713,0.0544153058950853,0.0533021589317545
"2300","deaf","Signer",0.310690611471861,0.0984594185685638,0.116163872509231
"2300","deaf","Target",0.568505498790425,0.0998296797412146,0.086322907714222
"2300","hearing","Distractor",0.164054739389188,0.0627548640508507,0.0759672434588822
"2300","hearing","Signer",0.333371167381594,0.118273557423297,0.136360881737997
"2300","hearing","Target",0.502574093229218,0.107617632384011,0.104719491931768
"2333","deaf","Distractor",0.125503197460434,0.053485001840265,0.0565104765711262
"2333","deaf","Signer",0.320101604353249,0.0988581515113176,0.107275291982323
