"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"1667","< 27 Months","Signer",0.330876824413976,0.0900532713085234,0.0975534226848634
"1667","< 27 Months","Target",0.469715517786062,0.106954163244245,0.093578747288389
"1667",">= 27 Months","Distractor",0.0793181818181818,0.0362122474747475,0.0371373737373737
"1667",">= 27 Months","Signer",0.341350392985068,0.089409372292654,0.101315679951284
"1667",">= 27 Months","Target",0.57933142519675,0.119458458131136,0.111997530380696
"1667","Adults","Distractor",0.00604645593869732,0.00604645593869732,0.0103568007662835
"1667","Adults","Signer",0.41374514047353,0.153659817845131,0.148257398489672
"1667","Adults","Target",0.580208403587772,0.159684919983922,0.154793996641687
"1700","< 27 Months","Distractor",0.186329147043433,0.0785607993197279,0.0817644557823129
"1700","< 27 Months","Signer",0.321775248560963,0.0696662414965986,0.0803782378335949
"1700","< 27 Months","Target",0.491895604395604,0.0732291666666666,0.0704492085295658
"1700",">= 27 Months","Distractor",0.0810507572349678,0.04114361946533,0.0427148983570036
"1700",">= 27 Months","Signer",0.332577426472163,0.0944104534841377,0.109543758970075
"1700",">= 27 Months","Target",0.586371816292869,0.115093801812223,0.10781946051025
"1700","Adults","Distractor",0.00590277777777778,0.00590277777777778,0.0100694444444444
"1700","Adults","Signer",0.423253881941101,0.156812569748057,0.151564944135802
"1700","Adults","Target",0.570843340281121,0.168990602279525,0.159507189094638
"1733","< 27 Months","Distractor",0.181194400837258,0.0767240646258503,0.0873363095238095
"1733","< 27 Months","Signer",0.321616082330368,0.0673705956741671,0.0773710317460317
"1733","< 27 Months","Target",0.497189516832374,0.0709990406418978,0.0707866736438165
"1733",">= 27 Months","Distractor",0.0819755050018208,0.0421883233725339,0.0460312707516655
"1733",">= 27 Months","Signer",0.321771094402673,0.0926869256474519,0.106073865218602
"1733",">= 27 Months","Target",0.596253400595506,0.119016853030011,0.105902532774243
"1733","Adults","Distractor",0.00590277777777778,0.00590277777777778,0.0100694444444444
"1733","Adults","Signer",0.42988233730662,0.166708380068023,0.162337213482967
"1733","Adults","Target",0.564214884915602,0.163890057325272,0.141844692095405
"1767","< 27 Months","Distractor",0.173852040816327,0.0767431972789115,0.0803582057823129
"1767","< 27 Months","Signer",0.317729591836735,0.0687563775510204,0.0758960459183673
"1767","< 27 Months","Target",0.508418367346939,0.0713031462585034,0.0650616496598638
"1767",">= 27 Months","Distractor",0.0851127231519388,0.0433118540863639,0.051128544295211
"1767",">= 27 Months","Signer",0.329870037083659,0.0987192056309703,0.119513387226236
"1767",">= 27 Months","Target",0.585017239764402,0.121774161711468,0.109197271501193
"1767","Adults","Distractor",0.00821759259259259,0.00821759259259259,0.0100694444444444
"1767","Adults","Signer",0.43638093405987,0.154439252345828,0.1526754566621
"1767","Adults","Target",0.555401473347537,0.154978153538796,0.142494310428039
"1800","< 27 Months","Distractor",0.1620670995671,0.0686593614718615,0.0744088203463203
"1800","< 27 Months","Signer",0.31722582972583,0.0727412518037518,0.0706849747474748
"1800","< 27 Months","Target",0.520707070707071,0.0635741341991342,0.0584117965367966
"1800",">= 27 Months","Distractor",0.0826483019904072,0.0442561951936952,0.0467516273930748
"1800",">= 27 Months","Signer",0.313000960053592,0.0896143180406338,0.108942562213615
"1800",">= 27 Months","Target",0.604350737956001,0.119721970743681,0.0971597867775499
"1800","Adults","Distractor",0.00821759259259259,0.00821759259259259,0.0101851851851852
"1800","Adults","Signer",0.444636585477103,0.155095714171684,0.154551647167488
"1800","Adults","Target",0.547145821930305,0.166260448024995,0.150426929392447
"1833","< 27 Months","Distractor",0.162551759834369,0.0690489130434783,0.0757259316770186
"1833","< 27 Months","Signer",0.307621635610766,0.0638819875776398,0.067151268115942
"1833","< 27 Months","Target",0.529826604554865,0.0572149974120083,0.0607201086956521
"1833",">= 27 Months","Distractor",0.0854185259185259,0.037970695970696,0.0432562645687646
"1833",">= 27 Months","Signer",0.312124035808246,0.0919951481267271,0.109969015876911
"1833",">= 27 Months","Target",0.602457438273228,0.113608022995523,0.102881904255589
"1833","Adults","Distractor",0.00851521164021164,0.00851521164021164,0.0108341600529101
"1833","Adults","Signer",0.452080153082174,0.167589191213132,0.169337206968317
"1833","Adults","Target",0.539404635277614,0.159118494006052,0.164222821636897
"1867","< 27 Months","Distractor",0.154593144950288,0.0624821428571428,0.0786857993197279
"1867","< 27 Months","Signer",0.319241016919588,0.0667481030873888,0.0707571025204953
"1867","< 27 Months","Target",0.526165838130124,0.0639840615733472,0.0605091411564624
"1867",">= 27 Months","Distractor",0.083902143608026,0.0404896133278486,0.046770162027515
"1867",">= 27 Months","Signer",0.296073479897009,0.0975965137803373,0.116708001965355
"1867",">= 27 Months","Target",0.620024376494965,0.11278561634444,0.0973049766138
"1867","Adults","Distractor",0.00845030209254347,0.00845030209254347,0.00970575909961684
"1867","Adults","Signer",0.458477990132912,0.166698799270243,0.175526432604416
"1867","Adults","Target",0.533071707774544,0.178372892775885,0.158686666906632
"1900","< 27 Months","Distractor",0.170761976119119,0.0793810356310356,0.0983090272822416
"1900","< 27 Months","Signer",0.306484884163456,0.0864333062770563,0.0922093382807668
"1900","< 27 Months","Target",0.522753139717425,0.0615550595238095,0.0567219387755102
"1900",">= 27 Months","Distractor",0.0889142302867793,0.0433309464682014,0.0503935166141048
"1900",">= 27 Months","Signer",0.286399132152486,0.0975675088394387,0.115692487886115
"1900",">= 27 Months","Target",0.624686637560735,0.118891799315045,0.102570339308858
"1900","Adults","Distractor",0.00827859879584017,0.00827859879584017,0.0108528325123153
"1900","Adults","Signer",0.469905705586245,0.174337318869893,0.183600838084394
"1900","Adults","Target",0.521815695617914,0.175262457591889,0.179049283144385
"1933","< 27 Months","Distractor",0.175663936903433,0.078240294369496,0.0817127760194987
"1933","< 27 Months","Signer",0.294159954191467,0.0980887525464731,0.0984496582723998
"1933","< 27 Months","Target",0.5301761089051,0.0573641572013421,0.0569020973774126
"1933",">= 27 Months","Distractor",0.0837349687349687,0.0430648749398749,0.0477094155844155
"1933",">= 27 Months","Signer",0.291441760853526,0.0941079236667472,0.121497347423818
"1933",">= 27 Months","Target",0.624823270411506,0.103728152566388,0.105691325014854
"1933","Adults","Distractor",0.00805795019157088,0.00632183908045977,0.00875239463601532
"1933","Adults","Signer",0.47212783332663,0.175272147612814,0.173646566597941
"1933","Adults","Target",0.519814216481799,0.183336246712381,0.169713098496956
"1967","< 27 Months","Distractor",0.166963176510943,0.0777216006940134,0.0734863896791694
"1967","< 27 Months","Signer",0.284692354122363,0.0993183068682018,0.106990331925925
"1967","< 27 Months","Target",0.548344469366694,0.0585858727462277,0.0552380563469407
"1967",">= 27 Months","Distractor",0.0825487008400815,0.0419712578364371,0.0467087535666865
"1967",">= 27 Months","Signer",0.292617408947557,0.0932710159732864,0.115683974376116
"1967",">= 27 Months","Target",0.624833890212362,0.120065547149755,0.101300819490846
"1967","Adults","Distractor",0.00813492063492063,0.00813492063492063,0.0103670634920635
"1967","Adults","Signer",0.475299542754045,0.176399359270925,0.174963730962097
"1967","Adults","Target",0.516565536611035,0.175523812644176,0.179843133342733
"2000","< 27 Months","Distractor",0.160754605670019,0.0793645324756697,0.0863611595954171
"2000","< 27 Months","Signer",0.283605537111176,0.0986299409915481,0.109545980413697
"2000","< 27 Months","Target",0.555639857218805,0.0716321322787488,0.0762492106890603
"2000",">= 27 Months","Distractor",0.0921820122697316,0.0389193955005359,0.0479426438571175
"2000",">= 27 Months","Signer",0.286880754073737,0.0964091710758377,0.124073915850232
"2000",">= 27 Months","Target",0.620937233656532,0.10708269410901,0.103157030834662
"2000","Adults","Distractor",0.00851521164021164,0.00851521164021164,0.0106646825396825
"2000","Adults","Signer",0.488365519125281,0.173752123274646,0.175369851306847
"2000","Adults","Target",0.503119269234507,0.179521005172082,0.176570748030266
"2033","< 27 Months","Distractor",0.169345238095238,0.0848363095238095,0.0997023809523809
