"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num"
"79","3","3","r_love_bird_3_24_6","bird","bird","0",TRUE,"8354","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","6"
"80","4","3","p_bird_where_1_29_5","bird","bird","1",TRUE,"5704","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","5"
"81","5","3","r_love_doll_3_23_4","doll","doll","1",TRUE,"8285","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","4"
"82","6","3","r_shoes_which_1_27_6","shoe","shoe","0",TRUE,"6186","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","6"
"83","7","3","r_cat_which_1_24_3","cat","cat","0",TRUE,"5390","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","3"
"84","8","3","r_ball_which_2_05_6","ball","ball","0",TRUE,"4965","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","6"
"85","9","3","r_shoes_where_3_27_2","shoe","ball","0",FALSE,"9183","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","2"
"86","10","3","r_love_ball_3_17_1","ball","shoe","1",FALSE,"9677","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","1"
"87","11","3","p_kitty_where_2_05_3","cat","cat","1",TRUE,"11068","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","3"
"88","12","3","r_love_bear_3_17_1","bear","doll","1",FALSE,"8733","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","1"
"89","13","3","p_ball_find_2_02_2","ball","shoe","0",FALSE,"6931","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","2"
"90","14","3","p_doll_where_1_24_1","doll","doll","1",TRUE,"6127","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","1"
"91","15","3","p_kitty_hey_3_03_4","cat","cat","0",TRUE,"7648","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","4"
"92","16","3","r_car_which_1_26_1","car","car","1",TRUE,"9170","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","1"
"93","17","3","p_bear_where_1_25_1","bear","bear","1",TRUE,"5976","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","1"
"94","18","3","p_book_look_2_03_3","book","book","0",TRUE,"6607","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","3"
"95","19","3","r_bear_which_1_25_3","bear","bear","0",TRUE,"6561","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","3"
"96","20","3","r_doll_which_1_20_1","doll","doll","0",TRUE,"9265","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","1"
"97","21","3","r_book_where_4_08_6","book","book","1",TRUE,"9154","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","6"
"98","22","3","r_love_car_3_20_3","car","book","1",FALSE,"8927","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","3"
"99","23","3","p_bird_look_1_27_4","bird","bird","0",TRUE,"11831","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","4"
"100","24","3","r_love_shoes_3_15_3","shoe","shoe","1",TRUE,"9694","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","3"
"101","25","3","r_car_where_3_24_4","car","car","1",TRUE,"8444","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","4"
"102","26","3","r_cat_where_4_01_4","cat","cat","0",TRUE,"8594","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","4"
"103","27","3","r_book_which_1_27_1","book","car","1",FALSE,"6237","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","1"
"104","28","3","p_shoe_hey_2_27_3","shoe","ball","1",FALSE,"7289","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","3"
"105","29","3","p_doll_find_1_28_1","doll","doll","0",TRUE,"6731","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","1"
"106","30","3","p_ball_where_1_21_1","ball","shoe","0",FALSE,"5188","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","1"
"107","31","3","r_bird_where_4_10_5","bird","bird","0",TRUE,"9415","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","5"
"108","32","3","r_ball_where_4_09_4","ball","ball","0",TRUE,"9199","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","4"
"109","33","3","r_love_book_3_29_6","book","book","0",TRUE,"7397","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","6"
"110","34","3","r_love_cat_3_22_2","cat","cat","1",TRUE,"7901","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","2"
"111","35","3","r_bear_where_4_04_2","bear","bear","0",TRUE,"11528","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","2"
"112","36","3","p_shoe_where_1_20_3","shoe","shoe","1",TRUE,"6236","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","3"
"113","37","3","r_doll_where_4_00_5","doll","doll","0",TRUE,"8482","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","5"
"114","38","3","p_car_where_1_23_4","car","car","0",TRUE,"5926","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","4"
"115","1","4","r_bear_which_1_23_1","bear","doll","1",FALSE,"7466","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","1"
"116","2","4","r_love_bird_3_21_3","bird","cat","1",FALSE,"8632","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","3"
"117","3","4","p_kitty_where_2_07_5","cat","cat","0",TRUE,"6871","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","5"
"118","4","4","r_love_ball_3_22_6","ball","ball","0",TRUE,"8678","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","6"
"119","5","4","p_book_look_2_01_1","book","car","1",FALSE,"9374","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","1"
